0.464485,10.963594,195.62355,30.030113,-0.079503,-0.959332,0.270854,-0.126464,-0.259812,-0.957342,0.150057,0,64.851433,0,1,1,1,1,1,,0.449301,28.233538,151.623749,17.08675,-0.135733,-0.957983,0.252674,-0.216921,-0.22011,-0.95105,0.26331,0,48.689697,0,1,1,1,1,1,
1.021012,10.162388,195.01651,29.973549,-0.081902,-0.958067,0.274591,-0.132135,-0.262646,-0.955802,0.183489,0,64.815987,0,1,1,1,1,1,,0.972105,26.613989,150.551468,15.861423,-0.142238,-0.956027,0.256478,-0.221199,-0.221859,-0.949658,0.24621,0,49.47971,0,1,1,1,1,1,
1.021375,8.978607,194.236984,30.01553,-0.085735,-0.956053,0.280377,-0.136505,-0.267488,-0.953843,0.190619,0,64.887672,0,1,1,1,1,1,,0.972319,22.81937,149.685211,15.496323,-0.15059,-0.952679,0.264054,-0.240762,-0.223716,-0.94445,0.196965,0,49.405697,0,1,1,1,1,1,
1.021558,7.782185,193.598022,29.96253,-0.085528,-0.95517,0.283434,-0.138313,-0.270339,-0.952778,0.199246,0,64.944489,0,1,1,1,1,1,,0.972441,19.304415,149.815308,15.133043,-0.143917,-0.954557,0.260978,-0.247301,-0.220664,-0.943477,0.177499,0,48.883678,0,1,1,1,1,1,
1.021663,5.732033,193.274658,29.741022,-0.080828,-0.955044,0.285232,-0.143683,-0.272015,-0.951506,0.224462,0,64.704384,0,1,1,1,1,1,,0.972552,15.510567,150.629135,14.529803,-0.134234,-0.958541,0.251359,-0.256719,-0.211357,-0.943093,0.199122,0,48.502518,0,1,1,1,1,1,
1.021774,3.486643,192.768539,29.136484,-0.077582,-0.954728,0.287185,-0.146831,-0.273971,-0.950463,0.232083,0,64.707283,0,1,1,1,1,1,,0.972673,13.682941,150.664612,13.922353,-0.141641,-0.95924,0.244533,-0.269559,-0.200315,-0.941919,0.220487,0,44.163677,0,1,1,1,1,1,
1.022175,1.037861,192.351135,28.543526,-0.076384,-0.954568,0.288038,-0.150192,-0.274571,-0.949765,0.229407,0,64.624275,0,1,1,1,1,1,,0.972789,10.009228,151.429825,13.050679,-0.148394,-0.960427,0.235711,-0.277604,-0.188311,-0.942059,0.267641,0,44.851982,0,1,1,1,1,1,
1.022338,-1.741116,192.286713,27.97489,-0.082541,-0.953909,0.288522,-0.157276,-0.273414,-0.948952,0.234326,0,64.411072,0,1,1,1,1,1,,0.972899,6.381554,151.985916,12.249018,-0.147672,-0.961667,0.231064,-0.285774,-0.182172,-0.940822,0.294385,0,49.840542,0,1,1,1,1,1,
1.022479,-6.92244,192.059097,26.543535,-0.117927,-0.949213,0.291698,-0.175584,-0.269188,-0.946947,0.234953,0,64.460976,0,0,1,1,1,1,,0.973015,2.870872,151.72699,11.210668,-0.14936,-0.961576,0.230356,-0.295926,-0.17882,-0.938324,0.313885,0,49.409954,0,1,1,1,1,1,
1.02261,-9.662861,191.119034,25.137646,-0.119554,-0.948566,0.293138,-0.179579,-0.269725,-0.946044,0.255022,0,64.535164,0,0,1,1,1,1,,0.973121,-0.479935,150.467636,10.411662,-0.149345,-0.961143,0.232163,-0.306171,-0.178305,-0.935129,0.317221,0,49.036587,0,1,1,1,1,1,
1.022759,-16.672745,190.84407,22.757774,-0.141193,-0.94559,0.293128,-0.197214,-0.263294,-0.944343,0.25456,0,64.59478,0,0,1,1,1,1,,0.973245,-4.091499,148.48941,9.989267,-0.153218,-0.95796,0.242563,-0.323373,-0.183342,-0.92834,0.314277,0,49.12027,0,1,1,1,1,1,
1.022875,-23.067295,190.932266,20.546818,-0.151103,-0.945225,0.289339,-0.213665,-0.254551,-0.94316,0.297773,0,64.523125,0,0,1,1,1,1,,0.973347,-8.295441,145.99379,9.392186,-0.142646,-0.957286,0.251506,-0.340861,-0.191048,-0.920497,0.32178,0,49.62534,0,1,1,1,1,1,
1.022946,-29.937538,189.737457,17.791332,-0.157583,-0.941522,0.297831,-0.2295,-0.258424,-0.938375,0.319607,0,64.338425,0,0,1,1,1,1,,0.973463,-12.618053,143.944992,8.979065,-0.121572,-0.959224,0.255168,-0.35324,-0.198433,-0.914246,0.327788,0,49.880383,0,1,1,1,1,1,
1.023031,-36.948494,188.648941,14.552923,-0.154909,-0.940086,0.303713,-0.238087,-0.262839,-0.935003,0.382177,0,64.56514,0,0,1,1,1,1,,0.973603,-16.941849,143.122787,8.428681,-0.108281,-0.959635,0.259568,-0.365952,-0.204291,-0.907934,0.317711,0,48.048134,0,1,1,1,1,1,
1.023099,-43.674706,186.888123,10.394484,-0.138668,-0.942279,0.304765,-0.241441,-0.266287,-0.933165,0.461372,0,65.21891,0,0,1,1,1,1,,0.973744,-23.282581,143.353775,7.315412,-0.107915,-0.957412,0.2678,-0.386545,-0.207769,-0.898563,0.320818,0,49.040958,0,1,1,1,1,1,
1.023172,-50.504509,184.726791,5.583773,-0.112128,-0.946152,0.303685,-0.241804,-0.270446,-0.931874,0.529401,0,66.080551,0,0,1,1,1,1,,0.973865,-28.303185,143.77655,5.910375,-0.110642,-0.953527,0.280259,-0.402667,-0.214802,-0.889786,0.312434,0,49.484505,0,1,1,1,1,1,
1.023263,-59.54451,181.584549,-0.701195,-0.097895,-0.946222,0.308353,-0.243273,-0.277689,-0.929359,0.596065,0,67.8797,0,0,1,1,1,1,,0.974021,-33.456955,144.026627,4.025123,-0.116776,-0.94868,0.293887,-0.416929,-0.221747,-0.881475,0.343953,0,49.612507,0,1,1,1,1,1,
